title,link
"내 피부에 맞는 `제니` 화장법은? 11번가, 헤라와 손잡고 라이브방송 첫선",https://www.mk.co.kr/news/business/view/2020/05/507875/
콧대 높은 ‘헤라’도 카톡으로 파는 까닭,https://shindonga.donga.com/BestClick/3/all/13/2173872/1
헤라 순위 유지하면서 평판 반등 없어... 2020년 10월 비누 브랜드평판 4위,http://www.futurekorea.co.kr/news/articleView.html?idxno=142128         
